title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
"Effortless Commute, 2 BR/1.5 BA with In Unit Washer/Dryer",,3593,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-effortless-commute-br-15/7933684024.html,37.7072342775777,-122.415895880029,San Francisco,2026-05-11T15:20:05.034101-07:00,False,,craigslist,,,,
Work and Play at Home: Tech Lounge & Fitness Center,,4427,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-work-and-play-at-home/7933674348.html,37.7791152707197,-122.41424289679,San Francisco,2026-05-11T14:40:05.785162-07:00,False,,craigslist,,,,
950 Franklin St - 1,,4995,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-950-franklin-st/7933665466.html,37.7831689471201,-122.422562243975,San Francisco,2026-05-11T14:20:05.444245-07:00,False,,craigslist,,,,
"Spacious, bright, top-floor Mission 2BR/1BA with own sun-filled deck","Mission,Chill Mission",3990,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-bright-top-floor/7933665991.html,37.7592462403012,-122.408901784224,San Francisco,2026-05-11T14:20:05.443571-07:00,False,,craigslist,7.0,22nd St,5.0,16th St Mission
3BR Townhome with Private Patio & Lake Merced Views! Unit AR554,,4845,3,3.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-townhome-with-private/7933649467.html,37.7177182593124,-122.483200659261,San Francisco,2026-05-11T13:20:05.633958-07:00,False,,craigslist,,,,
3BR w/ Private Patio and Lake Views! Unit AR546,,4945,3,3.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-private-patio-and/7933649758.html,37.7178517584787,-122.48319321081,San Francisco,2026-05-11T13:20:05.633375-07:00,False,,craigslist,,,,
Modern 3 Bed Apartment with En-Suite Bathrooms! Unit SE35510K,,4445,3,3.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-bed-apartment-with/7933650135.html,37.7192893095866,-122.480672196511,San Francisco,2026-05-11T13:20:05.632780-07:00,False,,craigslist,,,,
950 Franklin #1 - Charming 2x1 - WD in Unit - Walkable Area - Pets OK,,4995,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-950-franklin-charming-2x1/7933651672.html,37.7831689471201,-122.422562243975,San Francisco,2026-05-11T13:20:05.631409-07:00,False,,craigslist,,,,
"EV Charging, Expansive Windows w/ City Views, SoMa Life",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ev-charging-expansive/7933653624.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T13:20:05.630535-07:00,False,,craigslist,,,,
"Spacious and Bright 2 Bed, 1 Bath Townhome Apartment! Unit AR559",,3550,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-and-bright-bed/7933647355.html,37.7167894947265,-122.483241339265,San Francisco,2026-05-11T13:00:05.038365-07:00,False,,craigslist,,,,
"Bright and Spacious 2 Bed, 1 Bath Townhome Apartment! Unit GO415",,4145,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-and-spacious-bed/7933647546.html,37.7161099667816,-122.477299193972,San Francisco,2026-05-11T13:00:05.037804-07:00,False,,craigslist,,,,
Modern 2 Bedroom Tower Apartment! Unit AR3503K,,3255,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-bedroom-tower/7933647767.html,37.7204506950372,-122.483009291358,San Francisco,2026-05-11T13:00:05.037230-07:00,False,,craigslist,,,,
High-Rise 2 Bedroom Apartment with Views! Unit FO1506H,,3550,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-rise-bedroom/7933647986.html,37.7153381926316,-122.47352913168,San Francisco,2026-05-11T13:00:05.036659-07:00,False,,craigslist,,,,
High-Rise 2 Bedroom Apartment w/ Courtyard Views! Unit SE35512D,,3800,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-rise-bedroom/7933648457.html,37.7192893095866,-122.480672196511,San Francisco,2026-05-11T13:00:05.036075-07:00,False,,craigslist,,,,
High-Rise 2 Bedroom Apartment with Views! Unit CM12510E,,3895,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-rise-bedroom/7933648665.html,37.7168135589539,-122.474294030336,San Francisco,2026-05-11T13:00:05.035456-07:00,False,,craigslist,,,,
2 BR with Lake Merced and Golf Course Views! Unit SE40512L,,3900,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-with-lake-merced-and/7933648857.html,37.7190572616795,-122.481493245032,San Francisco,2026-05-11T13:00:05.034844-07:00,False,,craigslist,,,,
3BR Townhome Community in Parkmerced! Unit CR050,,4300,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-townhome-community-in/7933649065.html,37.7200204037331,-122.476097128518,San Francisco,2026-05-11T13:00:05.034232-07:00,False,,craigslist,,,,
3BR Townhome Community in Parkmerced! Unit GA132,,4700,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-townhome-community-in/7933649250.html,37.7159936563491,-122.481383810093,San Francisco,2026-05-11T13:00:05.033501-07:00,False,,craigslist,,,,
TWO Extra Clean Inlaw Rooms Close to SFSU-CCSF,,800,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-extra-clean-inlaw/7933643509.html,37.7185822796674,-122.471275688672,San Francisco,2026-05-11T12:40:05.255776-07:00,False,,craigslist,,,,
Extra Clean Inlaw Room Walk to SFSU-CCSF,,1000,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-extra-clean-inlaw-room/7933643706.html,37.721642447251,-122.469881682356,San Francisco,2026-05-11T12:40:05.254994-07:00,False,,craigslist,,,,
"Roof View Fire Pits, Grills, 360 View Rooftop Deck, Pets Welcome",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-roof-view-fire-pits/7933631165.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T12:00:04.974967-07:00,False,,craigslist,,,,
2BR with In Unit W/D - Near Transit & City Hotspots! Unit #207,,4195,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-with-in-unit-d-near/7933621582.html,37.7851187224968,-122.414529948645,San Francisco,2026-05-11T11:40:05.076806-07:00,False,,craigslist,,,,
