title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
Renovated kitchen- Two Bedroom split-level at Baker Beach!,,4865,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-kitchen-two/7920845690.html,37.7913685461257,-122.476793845196,San Francisco,2026-03-12 22:10:05.272978+00:00,craigslist,,,,
TMLP 15-mo. | Dazzling Views & Upgraded Kitchens-2 BR Oasis Awaits!,,5229,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-15-mo-dazzling-views/7920848710.html,37.7831689471201,-122.432684689341,San Francisco,2026-03-12 22:30:04.881829+00:00,craigslist,,,,
Lease Takeover - Great Building Amenities!,,2480,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lease-takeover-great/7920856957.html,37.715191515436,-122.408737918294,San Francisco,2026-03-12 23:10:04.790125+00:00,craigslist,,,,
2BR Apartment - In-Unit Laundry & Balcony,,2150,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-apartment-in-unit/7920854767.html,37.7936666798419,-122.434801768393,San Francisco,2026-03-12 23:10:04.790846+00:00,craigslist,,,,
"Pet Park, SoMa Life, Gated, Expansive Windows w/ City Views",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-soma-life-gated/7920856690.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-12 23:10:04.791512+00:00,craigslist,,,,
"2 BR 1 BA Furnished Cozy Private Apt. Close to GGP, UCSF, DWNTWN",Way Out There,3200,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-ba-furnished-cozy/7920861166.html,37.7593006712918,-122.483594281266,San Francisco,2026-03-13 00:10:04.900341+00:00,craigslist,30.0,4th & King,,
4 Bdr / 1 Ba for lease in Glen Park,,3100,4,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bdr-ba-for-lease-in-glen/7920872586.html,37.7302179065703,-122.435075069262,San Francisco,2026-03-13 00:30:04.675686+00:00,craigslist,,,,
TMLP 13-mo. | Urban Living at Its Best: On-Site Fitness Center,,4373,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-urban-living/7920872444.html,37.778401365307,-122.414338580742,San Francisco,2026-03-13 00:30:04.676420+00:00,craigslist,,,,
"Now Touring, Bike Stor, Great MidMar SOMA location, 360 Rooftop Views!",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-touring-bike-stor/7920871902.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-13 00:30:04.677043+00:00,craigslist,,,,
"40th/Wawona 3 bd 1 bath top floor of house, large deck and yard",Way Out There,4750,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-40th-wawona-bd-bath-top/7920871786.html,37.7351356033256,-122.497402564128,San Francisco,2026-03-13 00:30:04.677672+00:00,craigslist,37.0,22nd St,,
Must-See 2 BR with Gourmet Kitchen & Balcony-Act Fast!,,5499,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-must-see-br-with-gourmet/7920871016.html,37.7595395946923,-122.462860084577,San Francisco,2026-03-13 00:30:04.678299+00:00,craigslist,,,,
"Effortless Commute, 2 BR/1.5 BA with In Unit Washer/Dryer",,3886,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-effortless-commute-br-15/7920870688.html,37.7072342775777,-122.415895880029,San Francisco,2026-03-13 00:30:04.678876+00:00,craigslist,,,,
4 Bdr / 1.5 Ba for lease in Glen Park,,3100,4,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bdr-15-ba-for-lease-in/7920877427.html,37.7303198930578,-122.435512236059,San Francisco,2026-03-13 00:50:05.263778+00:00,craigslist,,,,
2 WEEKS FREE* 2 bed/2ba*11thFlr*Balcony*Walk-In Shower,,5102,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-weeks-free-bed/7920876186.html,37.7775138536824,-122.418040461056,San Francisco,2026-03-13 00:50:05.264517+00:00,craigslist,,,,
Top Floor Two Bedroom at AVA 55,,4655,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-two-bedroom-at/7920875720.html,37.7770182451897,-122.415690761138,San Francisco,2026-03-13 00:50:05.265112+00:00,craigslist,,,,
Exclusive 3 BR Living-Roof Decks & Real-Time Transit Access,,5491,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-exclusive-br-living-roof/7920873085.html,37.7236025358681,-122.43880445155,San Francisco,2026-03-13 00:50:05.265667+00:00,craigslist,,,,
2 WEEKS FREE* 2 bed/2ba*10thFlr*Balcony*City Views,,5304,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-weeks-free-bed/7920874462.html,37.7775138536824,-122.418040461056,San Francisco,2026-03-13 00:50:05.266216+00:00,craigslist,,,,
"Moving for Work, Leaving Something Special Behind!",Bernal,2450,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-moving-for-work-leaving/7920874484.html,37.7464291744249,-122.419338210462,San Francisco,2026-03-13 01:10:04.887986+00:00,craigslist,,,,
"Bicycle Parking, Great Location, Pet Park, 360 View Rooftop Deck",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bicycle-parking-great/7920883459.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-13 01:50:04.744519+00:00,craigslist,,,,
"available 4/1/2026 Sunny, Clean 2 bedroom at 17th ave & Irving st",Way Out There,2950,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-sunny-clean/7920888769.html,37.7644641669412,-122.475045178006,San Francisco,2026-03-13 02:30:05.071228+00:00,craigslist,,,,
2 Bedroom Unit - 1117-1121 Guerrero #2,Mission,5595,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-unit-guerrero/7920886584.html,37.7533035220505,-122.422985659785,San Francisco,2026-03-13 02:30:05.071995+00:00,craigslist,,,,
Charming 2-Bedroom Grand Victorian Home – Outer Mission,,4050,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-bedroom-grand/7920890777.html,37.7195013039708,-122.441099147519,San Francisco,2026-03-13 03:30:05.505372+00:00,craigslist,,,,
"Mid Floor, Sun-Drenched Updated 2-Bedroom Unit on Bustling Taraval St!",Way Out There,5300,2,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mid-floor-sun-drenched/7920895417.html,37.7428023515819,-122.481359745866,San Francisco,2026-03-13 03:50:05.301760+00:00,craigslist,,,,
"Updated 2 Bed, Top Floor.  Check out Virtual Tour!",Mission,3395,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-bed-top-floor/7917681606.html,37.7496463324443,-122.418245579946,San Francisco,2026-03-16 17:40:05.206632+00:00,craigslist,11.0,22nd St,,
Single-Family Two-Level 2BR/2BA Home - in Heart of Hayes Valley,,4700,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-single-family-two-level/7921570495.html,37.774900593179,-122.427261070852,San Francisco,2026-03-16 17:40:05.207472+00:00,craigslist,,,,
"Remodeled, New H/W (306 20th Avenue)",Way Out There,4895,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-new-w-th-avenue/7921573832.html,37.7821439256246,-122.479512529934,San Francisco,2026-03-16 17:40:05.208192+00:00,craigslist,28.0,4th & King,,
500 Stanyan #106 - Beautiful 2x1 - Pets OK - Private - Great Area,NOPA/Inner Richmond,5345,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-500-stanyan-beautiful-2x1/7921569526.html,37.7728963868117,-122.454281760469,San Francisco,2026-03-16 17:40:05.208843+00:00,craigslist,21.0,4th & King,,
Beautiful renovated 3 Bedroom apartment available!,,3695,3,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-renovated/7921024167.html,37.7724076538125,-122.412318331556,San Francisco,2026-03-16 17:40:05.209498+00:00,craigslist,,,,
Updated Compact 2BR/1BA Laundry In Unit Close To Presidio Pets OK,Way Out There,4200,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-compact-2br-1ba/7921562166.html,37.7852247196889,-122.479730826854,San Francisco,2026-03-16 17:40:05.210107+00:00,craigslist,29.0,4th & King,,
Updated Spacious 2BR/1BA Right By Golden Gate Park,NOPA/Inner Richmond,5345,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-spacious-2br-1ba/7921561891.html,37.7728963868117,-122.454281760469,San Francisco,2026-03-16 17:40:05.210668+00:00,craigslist,21.0,4th & King,,
"EV Charging, Pet Park, Expansive Windows w/ City Views",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ev-charging-pet-park/7921560236.html,37.7752730157458,-122.415909631016,San Francisco,2026-03-16 17:40:05.211269+00:00,craigslist,,,,
Top Floor Spacious Bright 2BR/1.5BA Laundry On Site Pet Friendly,,5255,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-spacious-bright/7921557698.html,37.7884281267213,-122.440507855075,San Francisco,2026-03-16 17:40:05.211845+00:00,craigslist,,,,
Updated Great View! 2BR/2BA Laundry In Unit Close To GG Park,Way Out There,5245,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-great-view-2br/7921557501.html,37.7636683285638,-122.478201029541,San Francisco,2026-03-16 17:40:05.212390+00:00,craigslist,32.0,4th & King,,
No Carpet Anymore! Right At Lafayette Park 2BR/1BA  Pet Friendly,,5195,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-no-carpet-anymore-right/7921557210.html,37.7907606379051,-122.426715042073,San Francisco,2026-03-16 17:40:05.212927+00:00,craigslist,,,,
Large 2 Bed Apt in San Francisco | 218 Monterey Blvd | $3850/mo,,3880,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bed-apt-in-san/7921589686.html,37.7318537010753,-122.440238564911,San Francisco,2026-03-16 17:50:05.693302+00:00,craigslist,,,,
*LEASED* Great 2-bedroom 1-bathroom apartment in Pacific Heights,,4500,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-leased-great-bedroom/7920121854.html,37.7931132026118,-122.424570461046,San Francisco,2026-03-16 17:50:05.694039+00:00,craigslist,,,,
*LEASED* Very spacious 2-bed 1-bath apartment with a lots of charm,Way Out There,4195,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-leased-very-spacious-bed/7920121610.html,37.7847056199265,-122.478624445352,San Francisco,2026-03-16 17:50:05.694716+00:00,craigslist,29.0,4th & King,,
"*LEASED* Top-floor, sunny and bright 2-bed 1-bath apt, deck, great loc",,5500,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-leased-top-floor-sunny/7918597185.html,37.7920205720966,-122.430996755676,San Francisco,2026-03-16 17:50:05.695345+00:00,craigslist,,,,
"3 Bedroom, 3 Bath Townhome in Parkmerced! Unit GR105",,4470,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-bath-townhome-in/7921585973.html,37.7162463307368,-122.479307411044,San Francisco,2026-03-16 17:50:05.695940+00:00,craigslist,,,,
"2 Bed, 1 Bath Townhome Apartment with Beautiful View! Unit GO421",,3600,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-bath-townhome/7921585384.html,37.7160721515671,-122.477381126936,San Francisco,2026-03-16 17:50:05.696517+00:00,craigslist,,,,
TMLP 13-mo. | City Oasis: Park Views & High-End Finishes,,4161,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-city-oasis/7921584206.html,37.778401365307,-122.414338580742,San Francisco,2026-03-16 17:50:05.697081+00:00,craigslist,,,,
"Stunning 2 BR/1.5 BA with Walk-In Closets, First Month Free!",,3886,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-stunning-br-15-ba-with/7921582342.html,37.7072342775777,-122.415895880029,San Francisco,2026-03-16 17:50:05.697687+00:00,craigslist,,,,
"*******This newly renovated 2-bedroom, 1-bath house******",,1000,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-this-newly-renovated/7921588662.html,37.7916997157313,-122.418600813779,San Francisco,2026-03-16 18:10:05.100197+00:00,craigslist,,,,
3BR Townhome Community in Parkmerced! Unit CR050,,4420,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3br-townhome-community-in/7921590858.html,37.718001873421,-122.474471647253,San Francisco,2026-03-16 18:10:05.100926+00:00,craigslist,,,,
Rent controlled apt in Sunny Mission! Condo Quality!  ~ J.Wavro,"Mission,Chill Mission",4295,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-controlled-apt-in/7921598567.html,37.7591946740997,-122.409776117819,San Francisco,2026-03-16 18:30:05.227024+00:00,craigslist,7.0,22nd St,,
Brand New 3BD/2BA in Quiet Convenient Neighborhood,Way Out There,4500,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-3bd-2ba-in/7921598482.html,37.7538157463193,-122.486123889932,San Francisco,2026-03-16 18:30:05.227823+00:00,craigslist,33.0,4th & King,,
Fully Remodeled 4 Bed 3 Full Bathroom Home | Garage + Backyard,,5495,4,3.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-remodeled-bed-full/7921588157.html,37.7296237493368,-122.391648879098,San Francisco,2026-03-16 18:30:05.228441+00:00,craigslist,,,,
