source,title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station,commute_minutes,commute_walk_minutes,commute_headway,transit_score,transit_lines,removed_at
craigslist,"Updated 2-bedroom, 2-bath Apartment in Buena Vista",Duboce,2103,2,1.0,https://www.craigslist.org/view/d/san-francisco-updated-bedroom-bath/swcQYVsnUmjYwJqiq8kDoC,37.7695560428663,-122.437670568074,San Francisco,2026-08-09T09:40:06.736565-07:00,False,,,,,22.0,8.0,,82.0,"24, 31, 49, 5R, 6, 7, N",2026-08-09T11:21:20.447178-07:00
craigslist,Unbeatable East Cut 1 BR-Exclusive Rooftop Access & Balconies,,4596,1,1.0,https://www.craigslist.org/view/d/san-francisco-unbeatable-east-cut-br/nvLWTDu43654XT2JpcjHKn,37.791457354584,-122.392345595777,San Francisco,2026-08-07T12:00:06.492002-07:00,False,,,,,,,,,,2026-08-09T11:41:18.702521-07:00
craigslist,A cozy room walking distance to USF available,NOPA/USF zone,1350,3,1.0,https://www.craigslist.org/view/d/san-francisco-cozy-room-walking/hHDLBIyT8RGeLu0w5s5qdA,37.7770967404076,-122.467245503541,San Francisco,2026-08-08T18:00:05.998018-07:00,False,,,,,25.0,6.0,,78.0,"31, 38, 38R, 5, 5R",2026-08-09T12:01:21.064080-07:00
craigslist,TMLP 12-mo. | Modern Living in the Heart of the City! 33 8th Street at Trinity P,,4399,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-modern-living/1GHpQ1Xf8p5rQ79uCweGmv,37.778401365307,-122.414338580742,San Francisco,2026-08-07T10:40:06.659921-07:00,False,,,,,,,,,,2026-08-09T12:01:21.064080-07:00
craigslist,TMLP 12-mo. | Luxury high-rise with top tier amenities and handcrafted apartment,,3636,1,1.0,https://www.craigslist.org/view/d/san-francisco-tmlp-12-mo-luxury-high/9UEXNCYNTdP83bfo8HNtjX,37.7791152707197,-122.41424289679,San Francisco,2026-08-07T10:40:06.657817-07:00,False,,,,,,,,,,2026-08-09T12:01:21.064080-07:00
craigslist,"Pets Welcome, Stainless Steel Appliances, SoMa Life, EV Charging",,4436,1,1.0,https://www.craigslist.org/view/d/san-francisco-pets-welcome-stainless/18KN2fAN5vGfX9nZwugkgm,37.7752730157458,-122.415909631016,San Francisco,2026-08-06T12:00:06.411061-07:00,False,,,,,,,,,,2026-08-09T12:01:21.064080-07:00
craigslist,Spacious Richmond District 1BR with Classic SF Charm,Way Out There,1189,1,1.0,https://www.craigslist.org/view/d/san-francisco-spacious-richmond/dAUVnCZPSfzqjLChztp49o,37.7771070536479,-122.480222424642,San Francisco,2026-08-09T10:40:06.156381-07:00,False,,,,,,,,,,2026-08-09T12:21:24.328275-07:00
craigslist,Mission District 1BR with In-Unit Laundry – Pet Friendly,Bernal,4495,1,1.0,https://www.craigslist.org/view/d/san-francisco-mission-district-1br-with/pxJ56Pi6kcQDrNoQuyYYwa,37.746135247076,-122.420581528877,San Francisco,2026-08-03T16:50:06.762762-07:00,False,,,,,,,,,,2026-08-09T12:21:24.328275-07:00
craigslist,Modern 1BR with In-Unit Laundry & Dishwasher  Pet Friendly,,4595,1,1.0,https://www.craigslist.org/view/d/san-francisco-modern-1br-with-in-unit/ibPLvUZdDAzjcDDXMedcfd,37.7751125875632,-122.429364971876,San Francisco,2026-08-03T10:02:10.949828-07:00,False,,,,,,,,,,2026-08-09T12:21:24.328275-07:00
craigslist,This beautifully remodeled top-floor one-bedroom,Mission,1233,1,1.0,https://www.craigslist.org/view/d/san-francisco-this-beautifully/nCFRqGmoztRpwALSorm9EZ,37.7488779960411,-122.420841078758,San Francisco,2026-08-09T12:40:06.117783-07:00,False,,,,,23.0,6.0,,69.0,"49, Yellow-N",2026-08-09T13:01:29.443129-07:00
craigslist,Stunning 1-Bedroom Gem in a Prime San Francisco Location,,1175,1,1.0,https://www.craigslist.org/view/d/san-francisco-stunning-bedroom-gem-in/9Pjms9bvQPoRmpV3VnjQqb,37.8007152066372,-122.404366250318,San Francisco,2026-08-09T12:20:06.115270-07:00,False,,,,,,,,,,2026-08-09T13:01:29.443129-07:00
